carbon,manganese,silicone,chromium,nickel,molybdenum,vanadium,nitrogen,niobium,cobalt,tugnsten,aluminium,titanium,yield_strength,tensile_strength,elongation
0.07,0.01,0.01,15.54,0.01,4.99,0.41,0.03,0.01,13.41,0,0.03,0,1312.6,2011.9,11.5
0.16,0.56,0.01,14.46,0.01,5.12,0.41,0.03,0.01,13.41,0,0.05,0,1350.4,2039.4,12
0.16,0.01,0.03,13.99,1.09,4.95,0.01,0,0.27,13.94,0,0.03,0,1169.4,1603.4,21.8
0.2,0.01,0.51,12.51,0.95,1.97,0.01,0,0.08,17.06,0,0.03,0,1322.1,1770.7,17.8
0.01,0.01,0.01,11.14,8.01,4.99,0.01,0,0.01,8.62,0,1.22,0.01,1870.6,1970.6,11.5
0.01,0.01,0.01,0.01,15.1,5.1,0.01,0,0.01,15.3,0,0.03,0.2,1580,1675.6,13.6
0.15,0.01,0.01,14.48,0.01,5.06,0.46,0.15,0.01,13.49,0,0.05,0,1164.4,2032.6,4
0.16,0.01,0.01,14.34,0.01,5.09,0.87,0.04,0.01,13.45,0,0.05,0,1550.3,2122.1,12
0.01,0.05,0.05,0.01,17.5,3.9,0.01,0,0.01,11.8,0,0.17,1.54,2381.6,2436.8,9.3
0.21,0.01,0.01,14.6,0.01,5.02,0.41,0.02,0.01,13.48,0,0.05,0,1405.6,2122.1,12
0.21,0.01,0.01,14.58,0.01,5.02,0.46,0.02,0.01,13.45,0,0.05,0,1529.6,2108.3,12
0.01,0.01,0.01,10.96,7.97,5,0.01,0,0.01,8.55,0,1.21,0.01,1825.8,1953.3,11
0.21,0.43,0.5,12.53,1.18,2.06,0.01,0,0.01,15.95,0,0.03,0,1352.2,1839.4,19
0,0.01,0.01,10.97,7.99,4.98,0.01,0,0.01,8.51,0,1.19,0.02,1837.9,1949.8,12.5
0.07,0.57,0.32,11.76,0.01,6.32,0.01,0.05,0.01,15.2,0,0.03,0,1133.4,1931.2,13.4
0.2,0.01,0.03,14.09,0.01,1.98,0.01,0,0.08,16.62,0,0.03,0,1358.2,1841.4,13.8
0.21,0.01,1.99,12.58,0.94,1.98,0.01,0,0.08,13.88,0,0.03,0,1354.2,1769.8,19.1
0.09,0.66,0.27,12.28,0.01,0.02,0.01,0.03,0.01,14.8,8,0.03,0,1081.1,1678.6,5.8
0.12,0.01,0.01,14.52,0.01,5.09,0.43,0.03,0.01,13.48,0,0.03,0,1515.8,2101.5,6
0.17,0.01,0.01,14.26,0.01,5.09,0.41,0.03,0.01,13.64,0,0.03,0,1502,2094.6,11
0.01,0.05,0.05,0.01,14.7,1.5,0.01,0,0.01,15.3,0,0.76,1.16,2157.3,2239.3,8.5
0.04,0.55,0.27,12.29,0.01,5.85,0.01,0.03,0.01,15,0,0.03,0,1287.4,1891.1,11
0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0,0.03,0,1311.4,2016.5,13.3
0.2,0.51,0.52,12.66,1.02,1.99,0.01,0,0.01,15.56,0,0.03,0,1245.4,1754.6,18.5
0.1,0.51,0.32,12,0.01,6.3,0.01,0.04,0.01,14.6,0,0.03,0,1155,1848,13.4
0.12,0.01,0.01,14.4,0.01,4.99,0.41,0.03,0.01,13.45,0,0.05,0,1322.9,1984.3,16
0.01,0.01,0.01,0.01,14.8,2.5,0.01,0,0.01,15,0,0.03,1.8,1571.2,1701.7,10.6
0.01,0.01,0.01,0.01,18.5,4.8,0.43,0,0.01,8.7,0,0.95,0.72,1288.4,1453.8,20
0.02,0.01,1.86,15.9,4,0.02,0.01,0,0.01,9.2,0,0.02,0.05,1143.7,1350.4,17
0.16,0.01,0.01,14.36,0.01,5.15,0.01,0.03,0.01,13.45,0,0.07,0,1460.7,2067,12
0.2,0.51,0.51,12.59,1.03,1.98,0.01,0,0.01,15.4,0,0.03,0,1300.3,1741.5,17.9
0.24,0.01,0.01,8.9,8.7,1.5,0.28,0,0.01,13,0,0.03,0.02,1309.1,1757,14.3
0.15,0.01,0.01,14.5,0.01,5,0.01,0,0.01,13.5,0,0.05,0,1338,1792.7,14.1
0.01,0.01,0.01,0.01,18.5,4.7,0.01,0,0.01,8.8,0,1.02,0.71,1309.1,1495.1,19
0.01,0.01,0.01,0.01,14.9,3.15,0.01,0,0.01,15.3,0,0.03,0.7,1669.3,1726.8,10.8
0.2,0.01,1.5,12.63,0.94,1.98,0.01,0,0.08,13.83,0,0.03,0,1382.2,1764.8,18.5
0.01,0.01,0.01,8.14,11.95,0.02,0.01,0,0.01,10.48,0,0.39,1.11,1768,1828.6,
0.09,0.63,0.37,12.3,0.01,3.97,0.01,0.04,0.01,15.2,0,0.03,0,1131.9,1595.4,13.4
0.15,0.01,0.01,14.13,0.14,4.8,0.21,0,0.01,13.33,0,0.03,0,1341.7,1745.5,18.5
0,0.01,0.01,11.85,10.25,1.47,0.01,0,0.01,7.48,0,0.43,0.56,1586.7,1671.3,
0,0.01,0.01,10.09,6.98,5.48,0.01,0.01,0.01,10.96,0,0.03,0,1373.9,1640.2,11.4
0.01,0.01,0.01,0.01,18.5,4.9,0.39,0,0.01,8.7,0,0.51,0.65,1164.4,1371.1,22
0.16,0.01,0.01,14.36,0.01,3.01,0.97,0.03,0.01,13.33,0,0.05,0,1240.2,1598.5,14
0.19,0.46,0.49,12.67,0.95,1.49,0.01,0,0.01,15.1,0,0.03,0,1250.8,1737.4,18.1
0.11,0.01,0.01,9.2,3.7,2,0.5,0,0.01,16.7,0,0.03,0.03,1453.8,1701.8,17
0.19,0.02,0.49,12.54,0.96,1.49,0.46,0,0.01,15.1,0,0.03,0,1241,1719.7,18.5
0.2,0.01,0.51,12.51,0.95,1.98,0.01,0,0.08,15.16,0,0.03,0,1314.2,1775.6,15.3
0.15,0.01,0.01,14.36,0.01,5.09,0.41,0.03,0.01,12.23,0,0.04,0,1471,1939.6,12.5
0.16,0.01,0.01,14.4,0.01,5.28,0.41,0.13,0.01,11.74,0,0.04,0,1646.7,2149.7,10
0.2,0.02,0.49,12.55,0.94,1.97,0.01,0,0.02,15.08,0,0.03,0,1258.6,1738.3,16.9
0.15,0.01,0.01,14.36,0.01,3.04,0.41,0.03,0.01,13.64,0,0.03,0,1233.3,1612.3,14
0.17,0.01,0.01,14.48,0.01,5.22,0.41,0.12,0.01,11.41,0,0.13,0,1536.5,2135.9,10
0.2,0.01,1,12.6,0.94,1.98,0.21,0,0.08,13.77,0,0.03,0,1344.4,1736.9,17.8
0.19,0.01,0.49,12.53,0.96,1.48,0.33,0,0.01,14.95,0,0.03,0,1218.4,1738.3,19.3
0.22,0.01,1.01,12.61,0.94,1.98,0.01,0,0.08,13.78,0,0.03,0,1383.7,1773.6,16.2
0.24,0.01,0.01,8.9,7.4,1.7,0.28,0,0.01,13,0,0.03,0.03,1550.3,1940.7,14.3
0.25,0.01,0.01,14.09,0.93,2,0.01,0,0.08,13.88,0,0.03,0,1438.6,1826.1,11
0.01,0.01,0.01,8.84,10.81,1.19,0.41,0,0.01,9.24,0,0.43,0.57,1755.2,1820.7,
0.01,0.04,0.04,9.9,6.99,2.75,0,0,0,8.02,2.43,1.8,0,1680.6,1768.7,6.5
0.01,0.01,0.01,0.01,14.6,3.1,0.01,0,0.01,15.4,0,0.03,0.12,1267.1,1331.5,15.8
0.02,0.01,1.82,13.9,5.1,0.02,0.01,0,0.01,8.9,0,0.02,0.04,1226.4,1329.8,17
0.01,0.01,0.01,7.74,11.91,0.98,0.01,0,0.01,9.95,0,0.27,0.71,1779.7,1856.2,
0.21,0.01,0.01,14.08,0.93,2,0.01,0,0.08,13.83,0,0.03,0,1372.9,1800.2,16.8
0.35,0.01,0.01,9,1.5,2,0.3,0,0.01,18,0,0.03,0.02,1731.7,2232.4,
0,0.01,0.01,11.11,10,1.23,0.01,0,0.01,7.51,0.28,0.57,0.59,1729.4,1817.2,
0.19,0.01,0.5,12.53,0.95,1.48,0.01,0,0.01,15.02,0,0.03,0,1311.1,1789.4,16.2
0.01,0.01,0.01,10.12,7.01,5.48,0.01,0,0.01,10.05,0,0.03,0,1486.2,1700.3,14.6
0.04,0.01,0.01,0.01,18.8,6,0.01,0,0.01,8,0,0.16,0.42,1012.8,1198.9,6
0.15,0.01,0.01,14.01,0.93,1.99,0.01,0,0.08,13.76,0,0.03,0,1278.2,1610.8,17.7
0.17,0.01,0.78,12.54,0.95,1.99,0.01,0,0.08,13.99,0,0.03,0,1368.5,1727.5,17.3
0.21,0.01,0.56,12.54,0.99,1.97,0.34,0,0.08,13.76,0,0.03,0,1280.7,1772.2,12.5
0.18,0.11,0.09,0.01,17.8,0.02,4.32,0,0.01,8.06,0,0.11,0.08,1605.4,1639.8,13
0.21,0.01,0.73,12.51,0.94,1.98,0.01,0,0.08,13.78,0,0.03,0,1369.5,1759.4,15.9
0.01,0.01,1.72,15.7,4.1,0.02,0.01,0,0.01,7.4,0,0.02,0.04,1205.8,1281.5,16
0.19,0.01,0.73,12.47,0.95,1.98,0.01,0,0.08,13.78,0,0.03,0,1275.3,1741.8,17.6
0.22,0.01,0.01,8.5,4.6,1.5,0.28,0,0.01,15.3,0.5,0.03,0.03,1575.5,1998.1,14.7
0.21,0.01,0.5,12.55,0.94,1.98,0.01,0,0.08,13.75,0,0.03,0,1369.5,1767.4,17.7
0.23,0.01,0.52,12.47,0.95,1.97,0.01,0,0.08,13.78,0,0.03,0,1359.7,1809.9,7.3
0.03,0.01,0.01,0.01,18.4,4.9,0.01,0,0.01,7,0,0.15,1.77,1233.3,1378,24
0.19,0.01,0.5,12.64,0.98,1.95,0.01,0,0.02,13.67,0,0.03,0,1376.3,1732.4,17.7
0.2,0.01,0.01,13.82,1.13,0.99,0.01,0,0.09,13.74,0,0.03,0,1376.7,1809.3,18
0.21,0.01,0.01,14.04,0.01,1.99,0.01,0,0.08,13.79,0,0.03,0,1348.9,1727.5,9.6
0.21,0.01,0.37,12.59,0.96,1.98,0.01,0,0.08,13.75,0,0.03,0,1332.7,1774.1,16.8
0.01,0.01,0.01,0.01,17,4.8,0.34,0,0.01,8.7,0,0.39,0.67,1287.3,1429.7,19.3
0.02,0.01,0.01,0.01,14.5,0.92,0.01,0,0.01,15.4,0,0.03,0.41,1212,1272.2,14.8
0.01,0.05,0.05,0.01,17.4,4.97,0.01,0,0.01,7.9,0,0.13,1.5,2356.4,2404.6,8
0.2,0.01,0.3,12.46,0.95,1.97,0.01,0,0.08,13.75,0,0.03,0,1299.8,1770.2,13.6
0.16,0.01,0.01,14.26,0.01,4.93,0.46,0.03,0.01,10.55,0,0.04,0,1405.6,1894.8,14
0.02,0.01,0.01,0.01,14.7,0.02,0.01,0,0.01,15.5,0,0.03,0.43,1144.8,1176.2,16.5
0.2,0.01,0.01,12.43,1.21,2.01,0.01,0,0.08,13.82,0,0.03,0,1423.8,1818.8,16.5
0,0.01,0.01,14.3,8.3,2.6,0.01,0,0.01,4.3,0,0.1,0.49,1350.4,1478,
0,0.01,0.01,14.3,8.4,2.5,0.01,0,0.01,4.3,0,0.12,0.47,1274.7,1347,
0.02,0.01,1.93,13.9,6,0.02,0.01,0,0.01,6,0,0.03,0.05,1130,1212.6,14
0.06,2.09,0.32,16.42,5.14,1.51,0.01,0,0.01,2.03,0,0.88,0,1237,1374.2,9.9
0.19,0.01,0.01,12.61,0.99,1.98,0.01,0,0.07,13.79,0,0.03,0,1371.4,1730.5,15.6
0.2,0.01,0.01,11.94,2.48,0.99,0.01,0,0.1,13.64,0,0.03,0,1273.3,1640.2,18.6
0.01,0.01,0.01,0.01,15.2,5.1,0.01,0,0.01,9.2,0,0.9,0.7,1393.5,1521.4,13.8
0.01,0.01,0.01,0.01,15.1,5.1,0.01,0,0.01,9.2,0,0.92,0.7,1580.1,1719.1,10.2
0.02,0.01,1.92,15.5,3.9,0.02,0.01,0,0.01,6,0,0.04,0.07,1109.3,1178.2,12
0.23,0.01,0.36,12.6,0.95,1.97,0.01,0,0.08,12.77,0,0.03,0,1302.8,1721.7,18.1
0.25,0.01,0.01,9,6.2,1.3,0.29,0,0.01,12.2,0,0.03,0.03,1405.6,1798.3,16
0.02,0.01,0.01,0.01,18.6,5.1,0.01,0,0.01,6.7,0,0.12,0.89,1088.6,1226.4,21
0.02,0.01,0.01,0.01,18.6,5.1,0.01,0,0.01,6.9,0,0.12,0.64,1026.6,1178.2,14
0.24,0.01,0.01,8.9,5.1,1.7,0.29,0,0.01,13,0,0.03,0.03,1429.7,1925.8,15.5
0.22,0.01,0.01,3.03,11.17,1.18,0.01,0,0.01,13.89,0,0.03,0.01,1810,1970,12.2
0.01,0.01,0.01,0.01,15.3,5.1,0.01,0,0.01,9.1,0,0.6,0.68,1123.1,1198.9,13
0.15,0.01,0.01,9,4.8,1.5,0.5,0,0.01,13,0,0.03,0.02,1412.5,1688.1,10
0.2,0.01,0.01,10.53,2.49,1.98,0.01,0,0.1,13.67,0,0.03,0,1282.2,1668.7,17.8
0.23,0.01,0.01,3.11,11.26,1.19,0.01,0,0.01,13.48,0,0.01,0.01,1777.6,1954.6,15.6
0.03,0.01,0.01,0.01,15,5,0.01,0,0.2,8.8,0,0.98,0.26,1026.6,1164.4,35
0.03,0.01,0.01,0.01,18.3,5.1,0.01,0,0.01,6.7,0,0.11,0.7,1109.3,1281.5,18
0.1,0.62,0.37,12.195,0.01,6.15,0.01,0.03,0.01,10.2,0,0.03,0,1258.2,1650.9,12
0.22,0.01,0.01,3.11,11.22,1.19,0.01,0,0.01,13.51,0,0.01,0.01,1743.5,1925.4,16.8
0.21,0.01,0.01,3.1,11.18,1.19,0.01,0,0.01,13.52,0,0.01,0.01,1792.1,1991.2,15
0.23,0.01,0.01,3.1,11.08,1.19,0.01,0,0.01,13.49,0,0.01,0.01,1741.8,1933.4,15.6
0.23,0.01,0.01,3.11,11.16,1.18,0.01,0,0.01,13.46,0,0.01,0.01,1746.6,1945.8,14.8
0.24,0.01,0.01,3.12,11.06,1.19,0.01,0,0.01,13.46,0,0.01,0.01,1804.2,2010.8,15.9
0.03,0.6,0.3,14.5,8.5,2.5,0.01,0,0.01,0.01,0,1.2,0,1478.4,1617,5
0.21,0.01,0.01,3.11,11.11,1.19,0.01,0,0.01,13.48,0,0.01,0.01,1795.5,1991.9,13.4
0.23,0.01,0.02,3.12,11.03,1.2,0.01,0,0.01,13.45,0,0.01,0.01,1818,2022.2,14.4
0.08,0.59,0.3,12.16,0.01,6.3,0.01,0.05,0.01,10,0,0.03,0,1287.4,1801.8,9.7
0.02,0.01,0.01,0.01,18.1,4.8,0.01,0,0.3,6.8,0,0.09,0.41,1005.9,1109.3,28
0.01,0.01,0.03,7.93,10.02,0.2,0,0.01,0,8.14,2.29,0.2,0.49,1525,1635,9.8
0.07,0.6,0.3,17,7,0.02,0.01,0,0.01,0.01,0,1.2,0,1362.9,1447.6,9
0.02,0.01,0.01,5.1,11.2,5.1,0.01,0,0.01,6.2,0,0.71,0.94,1071.4,1229.8,24.5
0.02,0.01,0.01,5.1,11.2,5.1,0.49,0,0.01,6.3,0,0.41,0.74,1136.8,1205.8,22.5
0.09,2.8,0.32,17.48,4.44,0.02,0.01,0,0.01,0.01,0,0.9,0,1236.6,1381.9,12.9
0.01,0.01,0.01,5.1,11.2,5.1,0.94,0,0.01,6.3,0,0.09,0.78,1040.4,1164.4,22
0.02,0.01,0.01,0.01,14.6,5,0.43,0,0.2,8.9,0,0.48,0.2,1026.6,1178.2,18
0.02,0.01,0.01,0.01,14.9,4.8,0.26,0,0.01,8.7,0,0.36,0.71,1164.4,1260.9,24
0.04,0.44,0.32,12,0.01,6.16,0.01,0.03,0.01,10,0,0.03,0,1219.7,1674,12.5
0.04,0.01,0.01,0.01,15,5,0.01,0,0.2,8.8,0,0.5,0.24,1019.7,1157.5,15
0.21,0.01,0.6,8.2,2.6,1.3,0.29,0,0.01,14.2,0,0.03,0.02,1391.8,1839.6,11
0.01,0.01,0.01,5,11.2,5,0.01,0,0.01,6.2,0,0.09,1.81,1164.4,1288.4,33
0.17,0.16,0.05,2.97,10.02,1.21,0.01,0,0.01,13.74,0,0.01,0,1547.3,1663.9,14.4
0.07,0.6,0.3,15,7,2.25,0.01,0,0.01,0.01,0,1.2,0,1463,1555.4,6.5
0.03,0.05,0.17,0.01,16.4,0.02,4,0,0.01,6.9,0,0.1,0.14,1536.5,1536.5,11
0.35,0.07,4.75,0.01,18.5,0.02,0.01,0,0.01,0.01,0,0.03,0,1250.5,1949.9,2
0.01,0.01,0.01,5,11.1,5.1,0.01,0,0.01,6.3,0,0.1,1.29,1123.1,1247.1,23
0.09,1,0.5,17.5,4.2,2.75,0.01,0.1,0.01,0.01,0,0.03,0,1016.4,1324.4,12
0.19,0.01,0.01,6.8,2.8,2.4,0.28,0,0.01,14.2,1.3,0.03,0.02,1371.1,1812.1,13
0.09,0.5,0.28,17.12,4.18,2.02,0.01,0,0.01,2.02,0,0.03,0,1117.3,1286.6,20.2
0.1,0.53,0.26,12.32,0.01,0.02,0.01,0.03,0.01,9.75,6,0.03,0,1232,1566.2,14.7
0.16,0.16,0.05,1.97,10.05,1,0.01,0,0.01,13.88,0,0.01,0,1592.9,1729.6,14.5
0.16,0.06,0.04,1.95,10.15,0.98,0.01,0,0.01,13.8,0,0.01,0.01,1629.9,1760.8,14.5
0.02,0.01,0.01,5,11.1,4.8,0.01,0,0.01,6.2,0,0.09,0.82,1047.3,1178.2,18
0.11,0.58,0.22,11.89,0.01,3.88,0.01,0.02,0.01,10.2,0,0.03,0,1096.5,1492.3,14.5
0.24,0.01,0.01,9.1,2.8,1.3,0.37,0,0.01,12.4,0,0.03,0.03,1615.8,1960.2,15.5
0.23,0.01,0.01,9,2.8,1.3,0.3,0,0.01,12.5,0,0.03,0.03,1522.7,2024,14.4
0.02,0.01,0.01,0.01,13,5,0.47,0,0.01,8.9,0,0.2,0.71,1061.1,1198.9,23
0.18,0.01,0.01,9.1,2.8,1.3,0.29,0,0.01,12.5,0,0.03,0.03,1426.2,1800.6,16
0.24,0.01,0.01,9,2.8,1.3,0.29,0,0.01,12.4,0,0.03,0.02,1564,1939.6,16
0.1,3,0.3,17,4.2,0.02,0.01,0,0.01,0.01,0,0.03,0,1130.4,1350.6,30.5
0.15,0.16,0.05,2.97,10.06,1,0.01,0,0.01,12.05,0,0.01,0,1455.4,1567.7,16.7
0.09,2.16,0.18,16.92,4.26,1.04,0.01,0,0.01,0.01,0,0.03,0,1028.7,1315.2,18
0.03,0.01,0.01,12.64,8.44,2.24,0.01,0,0.01,0.01,0,1.31,0.01,1521.3,1572.3,13.5
0.02,0.1,4.27,0.01,18.1,0.02,0.01,0,0.01,0.01,0,0.07,0.09,1801.8,1915.4,4
0.15,0.16,0.06,2.01,10.08,1.22,0.01,0,0.01,12.15,0,0.01,0,1503.4,1642.2,16
0.03,0.01,0.01,12.51,8.36,2.22,0.01,0,0.01,0.01,0,1.06,0.09,1350.3,1413.2,18.2
0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,1308,1431.4,14.3
0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0,1.06,0.09,1357.9,1408.6,16.8
0.03,0.01,0.01,12.49,8.31,2.22,0.01,0,0.01,0.01,0,1.07,0.05,1317,1526.5,18.1
0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0,1.06,0.02,1269,1325.2,16.2
0.03,0.01,0.01,12.57,8.29,2.22,0.01,0.01,0.01,0.01,0,1.05,0.01,1306.9,1336.4,15.9
0.03,0.01,0.01,12.54,8.38,2.24,0.01,0,0.01,0.01,0,1.03,0.01,1285,1311.3,16
0.04,0.01,0.01,12.49,8.3,2.23,0.01,0,0.01,0.01,0,1.07,0.01,1297.5,1343.3,15.5
0.04,0.01,0.01,12.51,8.32,2.22,0.01,0,0.01,0.01,0,1.06,0.05,1344,1511,17.8
0.04,0.01,0.01,12.45,8.33,2.2,0.01,0,0.01,0.01,0,1.04,0.1,1348.6,1440.6,17.3
0.12,0.18,0.06,2.01,10.07,1,0.01,0,0.01,12.1,0,0.01,0,1463.3,1574.7,15.4
0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0,1.05,0.05,1276.7,1334,18.3
0.03,0.01,0.01,12.51,8.31,2.22,0.01,0,0.01,0.01,0,1.06,0.02,1296,1355.3,18.2
0.03,0.01,0.01,12.56,8.31,2.22,0.01,0,0.01,0.01,0,1.02,0.01,1277.7,1308.8,16.1
0.04,0.01,0.01,12.49,8.3,2.21,0.01,0,0.01,0.01,0,1.02,0.09,1391.2,1426,16.6
0.04,0.01,0.01,12.46,8.34,2.24,0.01,0,0.01,0.01,0,1.04,0.01,1312,1344.4,14.6
0.03,0.01,0.01,12.47,8.31,2.2,0.01,0,0.01,0.01,0,1.03,0.02,1276.5,1463.8,18.6
0.2,0.01,0.01,8.2,2.1,1.3,0.29,0,0.01,12.4,0,0.03,0.02,1357.3,1777.6,11
0.04,0.01,0.01,12.35,8.27,2.21,0.01,0,0.01,0.01,0,1.04,0.03,1294.9,1352.1,18.2
0.13,1,0.25,15.5,4.2,2.75,0.01,0.1,0.01,0.01,0,0.03,0,1155,1409.1,14
0.14,3,0.24,15.69,4.14,0.02,0.01,0,0.01,0.01,0,0.03,0,1153.4,1359.8,17.2
0.04,0.01,0.01,12.58,8.39,2.2,0.01,0,0.01,0.01,0,0.77,0.02,1280.2,1343.8,18.4
0.12,0.54,1.2,12.02,2,3.01,0.35,0.05,0.41,4,0,0.03,0,1074.9,1342.9,17.9
0.01,0.07,0.11,11.3,10.3,2.05,0.01,0,0.01,0.01,0,0.24,0.23,1157.5,1187.8,16.5
0.04,0.01,0.04,12.44,8.26,2.19,0.01,0,0.01,0.01,0,0.77,0.02,1280.8,1340.1,16.1
0.4,0.16,0.01,12.14,0.01,5.84,0.96,0,0.01,4.92,0,0.03,0,1667.4,2122.1,4
0.03,0.01,0.01,11.2,9.61,0.02,0.01,0,0.01,0.01,4,0.39,0.26,1199,1266.5,10.3
0.04,0.01,0.01,12.38,8.25,2.2,0.01,0,0.01,0.01,0,0.81,0.03,1305.4,1361.8,18.2
0.01,0.01,0.01,0.01,21,2.1,0.01,0,0.01,0.01,0,0.13,1.9,1661.2,1888.4,6
0.01,0.1,3.3,0.01,18.5,0.02,0.01,0,0.01,0.01,0,0.05,0.11,1474.4,1529.6,13.5
0.01,0.01,0.01,10.5,10.3,3.1,0.01,0,0.01,0.01,0,0.36,0.11,1091.4,1140.3,22
0.02,0.74,0.1,10.2,10.2,1.98,0.01,0,0.01,0.01,0,0.3,0.22,1145.8,1196.1,18
0.01,0.05,0.02,10.6,10.6,2.06,0.01,0,0.01,0.01,0,0.36,0.08,1194,1235.4,17
0.1,0.5,0.3,12,2,0.02,0.01,0,0.01,5,6,0.03,0,1235.9,1520,15.6
0,0.1,0.41,10.2,10.4,2,0.01,0,0.01,0.01,0,0.25,0.23,1221.6,1282.9,17.5
0.01,0.05,0.1,7.7,12.2,3.05,0.01,0,0.01,0.01,0,0.63,0.2,1506.8,1546.8,14
0.02,0.11,3.18,0.01,18.3,0.02,0.01,0,0.01,0.01,0,0.03,0,1419.4,1481.4,14
0,0.07,0.1,10.4,10.4,2.2,0.01,0,0.01,0.01,0,0.25,0.24,1224.7,1241.2,15.5
0,0.11,0.3,10.2,10.4,2.05,0.01,0,0.01,0.01,0,0.2,0.22,1173.8,1232,18
0.01,0.08,0.05,9.4,10.7,3.2,0.01,0,0.01,0.01,0,0.27,0.22,1267.8,1285,15
0.03,0.01,0.01,10.7,9.46,2.45,0.01,0,0.01,0.01,0,0.46,0.28,1182,1254.5,10.1
0,0.05,0.02,11.2,9.9,2.05,0.01,0,0.01,0.01,0,0.13,0.3,1172,1213.3,18
0,0.36,0.08,10.2,10.3,2.02,0.01,0,0.01,0.01,0,0.3,0.23,1178.9,1234.4,18.5
0,0.44,0.08,10.1,10.3,2,0.01,0,0.01,0.01,0,0.3,0.22,1163,1219.6,17.5
0.01,0.11,0.18,10.2,10.3,2.05,0.01,0,0.01,0.01,0,0.27,0.22,1175.4,1224.4,19
0.01,0.03,0.03,10.2,10.5,2.2,0.01,0,0.01,0.01,0,0.23,0.24,1340.8,1353.2,13
0.01,0.12,0.06,10.3,10.2,2.05,0.01,0,0.01,0.01,0,0.31,0.21,1258.8,1289.1,15
0.01,0.05,0.09,7.65,12.2,3.05,0.01,0,0.01,0.01,0,0.46,0.2,1414.5,1465.5,15
0.02,0.24,0.1,10.2,10.3,1.94,0.01,0,0.01,0.01,0,0.24,0.23,1167.2,1207.8,16.5
0,0.05,0.02,10.4,10,2.05,0.01,0,0.01,0.01,0,0.35,0.31,1282.2,1344.2,16
0.01,0.01,0.01,0.01,17.5,2.1,2,0,0.01,0.01,0,0.12,2,1998.6,2088.4,10
0.02,0.48,0.1,10,10,1.92,0.01,0,0.01,0.01,0,0.29,0.21,1188.6,1236.4,16.5
0,0.05,0.02,10.3,10.2,2.06,0.01,0,0.01,0.01,0,0.35,0.17,1243,1292.6,16
